date,time,temp,humid,condition
2018/1/1,12:00 AM,39,75,Partly Cloudy
2018/1/1,12:30 AM,37,81,Partly Cloudy
2018/1/1,1:00 AM,39,87,Light Rain Shower / Windy
2018/1/1,1:30 AM,41,81,Mostly Cloudy / Windy
2018/1/1,2:00 AM,39,87,Light Rain Shower / Windy
2018/1/1,2:30 AM,39,87,Partly Cloudy / Windy
2018/1/1,3:00 AM,41,81,Partly Cloudy / Windy
2018/1/1,3:30 AM,41,81,Light Rain Shower / Windy
2018/1/1,4:00 AM,41,81,Partly Cloudy / Windy
2018/1/1,4:30 AM,41,81,Partly Cloudy / Windy
2018/1/1,5:00 AM,41,81,Partly Cloudy / Windy
2018/1/1,5:30 AM,41,81,Mostly Cloudy / Windy
2018/1/1,6:00 AM,41,81,Mostly Cloudy / Windy
2018/1/1,6:30 AM,41,81,Mostly Cloudy
2018/1/1,7:00 AM,41,81,Mostly Cloudy
2018/1/1,7:30 AM,41,81,Mostly Cloudy
2018/1/1,8:00 AM,39,87,Mostly Cloudy
2018/1/1,8:30 AM,39,87,Mostly Cloudy
2018/1/1,9:00 AM,39,87,Mostly Cloudy
2018/1/1,9:30 AM,39,87,Mostly Cloudy
2018/1/1,10:00 AM,39,87,Partly Cloudy
2018/1/1,10:30 AM,41,81,Partly Cloudy
2018/1/1,11:00 AM,41,81,Partly Cloudy / Windy
2018/1/1,11:30 AM,43,81,Mostly Cloudy / Windy
2018/1/1,12:00 PM,43,81,Partly Cloudy / Windy
2018/1/1,12:30 PM,45,76,Mostly Cloudy / Windy
2018/1/1,1:00 PM,45,76,Mostly Cloudy / Windy
2018/1/1,1:30 PM,45,81,Light Rain Shower / Windy
2018/1/1,2:00 PM,45,81,Light Rain Shower / Windy
2018/1/1,2:30 PM,43,87,Light Rain Shower / Windy
2018/1/1,3:00 PM,43,81,Partly Cloudy / Windy
2018/1/1,3:30 PM,45,81,Partly Cloudy / Windy
2018/1/1,4:00 PM,43,87,Light Rain Shower / Windy
2018/1/1,4:30 PM,45,81,Mostly Cloudy / Windy
2018/1/1,5:00 PM,43,81,Partly Cloudy / Windy
2018/1/1,5:30 PM,43,81,Fair / Windy
