date,time,temp,humid,windspeed,condition
2018/1/1,12:00 AM,39,75,16,Partly Cloudy
2018/1/1,12:30 AM,37,81,14,Partly Cloudy
2018/1/1,1:00 AM,39,87,29,Light Rain Shower / Windy
2018/1/1,1:30 AM,41,81,31,Mostly Cloudy / Windy
2018/1/1,2:00 AM,39,87,26,Light Rain Shower / Windy
2018/1/1,2:30 AM,39,87,24,Partly Cloudy / Windy
2018/1/1,3:00 AM,41,81,28,Partly Cloudy / Windy
2018/1/1,3:30 AM,41,81,28,Light Rain Shower / Windy
2018/1/1,4:00 AM,41,81,28,Partly Cloudy / Windy
2018/1/1,4:30 AM,41,81,21,Partly Cloudy / Windy
2018/1/1,5:00 AM,41,81,26,Partly Cloudy / Windy
2018/1/1,5:30 AM,41,81,24,Mostly Cloudy / Windy
2018/1/1,6:00 AM,41,81,21,Mostly Cloudy / Windy
2018/1/1,6:30 AM,41,81,17,Mostly Cloudy
2018/1/1,7:00 AM,41,81,16,Mostly Cloudy
2018/1/1,7:30 AM,41,81,15,Mostly Cloudy
2018/1/1,8:00 AM,39,87,13,Mostly Cloudy
2018/1/1,8:30 AM,39,87,14,Mostly Cloudy
2018/1/1,9:00 AM,39,87,15,Mostly Cloudy
2018/1/1,9:30 AM,39,87,15,Mostly Cloudy
2018/1/1,10:00 AM,39,87,17,Partly Cloudy
2018/1/1,10:30 AM,41,81,20,Partly Cloudy
2018/1/1,11:00 AM,41,81,22,Partly Cloudy / Windy
2018/1/1,11:30 AM,43,81,24,Mostly Cloudy / Windy
2018/1/1,12:00 PM,43,81,28,Partly Cloudy / Windy
2018/1/1,12:30 PM,45,76,30,Mostly Cloudy / Windy
2018/1/1,1:00 PM,45,76,28,Mostly Cloudy / Windy
2018/1/1,1:30 PM,45,81,31,Light Rain Shower / Windy
2018/1/1,2:00 PM,45,81,29,Light Rain Shower / Windy
2018/1/1,2:30 PM,43,87,30,Light Rain Shower / Windy
2018/1/1,3:00 PM,43,81,28,Partly Cloudy / Windy
2018/1/1,3:30 PM,45,81,22,Partly Cloudy / Windy
2018/1/1,4:00 PM,43,87,26,Light Rain Shower / Windy
2018/1/1,4:30 PM,45,81,26,Mostly Cloudy / Windy
2018/1/1,5:00 PM,43,81,24,Partly Cloudy / Windy
2018/1/1,5:30 PM,43,81,21,Fair / Windy
2018/1/1,6:00 PM,41,81,21,Fair / Windy
2018/1/1,6:30 PM,41,87,16,Fair
2018/1/1,7:00 PM,41,87,15,Fair
2018/1/1,7:30 PM,41,87,15,Fair
2018/1/1,8:00 PM,41,87,18,Partly Cloudy
2018/1/1,8:30 PM,41,81,17,Partly Cloudy
2018/1/1,9:00 PM,41,81,18,Partly Cloudy
2018/1/1,9:30 PM,41,76,17,Partly Cloudy
2018/1/1,10:00 PM,39,81,20,Partly Cloudy
2018/1/1,10:30 PM,39,81,20,Partly Cloudy
2018/1/1,11:00 PM,37,81,17,Partly Cloudy
2018/1/1,11:30 PM,37,81,16,Partly Cloudy
2018/1/2,12:00 AM,43,87,32,Light Rain Shower / Windy
2018/1/2,12:30 AM,41,87,28,Mostly Cloudy / Windy
2018/1/2,1:00 AM,39,75,13,Partly Cloudy
2018/1/2,1:30 AM,39,75,13,Mostly Cloudy
2018/1/2,2:00 AM,39,75,14,Mostly Cloudy
2018/1/2,2:30 AM,39,75,12,Mostly Cloudy
2018/1/2,3:00 AM,39,75,7,Mostly Cloudy
2018/1/2,3:30 AM,39,75,7,Mostly Cloudy
2018/1/2,4:00 AM,39,75,7,Mostly Cloudy
2018/1/2,4:30 AM,39,75,6,Mostly Cloudy
2018/1/2,5:00 AM,39,75,5,Mostly Cloudy
2018/1/2,5:30 AM,41,76,10,Mostly Cloudy
2018/1/2,6:00 AM,41,76,12,Mostly Cloudy
2018/1/2,6:30 AM,41,76,10,Light Rain
2018/1/2,7:00 AM,41,81,7,Light Rain
2018/1/2,7:30 AM,43,87,10,Light Rain
2018/1/2,8:00 AM,43,93,14,Light Rain
2018/1/2,8:30 AM,43,93,14,Light Rain
2018/1/2,9:00 AM,45,87,10,Light Rain
2018/1/2,9:30 AM,46,87,13,Light Rain
2018/1/2,10:00 AM,48,87,20,Light Rain
2018/1/2,10:30 AM,48,87,23,Light Rain / Windy
2018/1/2,11:00 AM,48,87,24,Partly Cloudy / Windy
2018/1/2,11:30 AM,48,87,22,Partly Cloudy / Windy
2018/1/2,12:00 PM,48,87,22,Mostly Cloudy / Windy
2018/1/2,12:30 PM,50,82,23,Mostly Cloudy / Windy
2018/1/2,1:00 PM,50,76,28,Mostly Cloudy / Windy
2018/1/2,1:30 PM,50,76,26,Mostly Cloudy / Windy
2018/1/2,2:00 PM,50,76,24,Mostly Cloudy / Windy
2018/1/2,2:30 PM,50,76,22,Showers in the Vicinity
2018/1/2,3:00 PM,50,76,23,Light Rain / Windy
2018/1/2,3:30 PM,48,82,21,Light Rain / Windy
2018/1/2,4:00 PM,48,87,20,Light Rain
2018/1/2,4:30 PM,46,93,16,Light Rain
2018/1/2,5:00 PM,46,93,13,Light Rain
2018/1/2,5:30 PM,46,93,15,Light Rain
2018/1/2,6:00 PM,46,87,14,Mostly Cloudy
2018/1/2,6:30 PM,46,93,12,Light Rain
2018/1/2,7:00 PM,48,87,12,Light Rain
2018/1/2,7:30 PM,52,82,24,Mostly Cloudy / Windy
2018/1/2,8:00 PM,52,82,32,Mostly Cloudy / Windy
2018/1/2,8:30 PM,50,76,35,Light Rain Shower / Windy
2018/1/2,9:00 PM,48,71,40,Fair / Windy
2018/1/2,9:30 PM,48,71,39,Mostly Cloudy / Windy
2018/1/2,10:00 PM,46,76,41,Mostly Cloudy / Windy
2018/1/2,10:30 PM,46,76,36,Light Rain Shower / Windy
2018/1/2,11:00 PM,45,76,37,Mostly Cloudy / Windy
2018/1/2,11:30 PM,43,87,33,Light Rain Shower / Windy
2018/1/3,12:00 AM,43,81,18,Partly Cloudy
2018/1/3,12:30 AM,43,81,14,Partly Cloudy
2018/1/3,1:00 AM,41,87,24,Light Rain Shower / Windy
2018/1/3,1:30 AM,41,81,25,Mostly Cloudy / Windy
2018/1/3,2:00 AM,41,81,29,Partly Cloudy / Windy
2018/1/3,2:30 AM,41,81,28,Partly Cloudy / Windy
2018/1/3,3:00 AM,41,87,32,Partly Cloudy / Windy
2018/1/3,3:30 AM,43,81,30,Partly Cloudy / Windy
2018/1/3,4:00 AM,41,87,30,Light Rain Shower / Windy
2018/1/3,4:30 AM,41,87,35,Light Rain Shower / Windy
2018/1/3,5:00 AM,41,87,31,Light Rain Shower / Windy
2018/1/3,5:30 AM,41,87,31,Partly Cloudy / Windy
2018/1/3,6:00 AM,41,87,24,Partly Cloudy / Windy
2018/1/3,6:30 AM,43,81,24,Partly Cloudy / Windy
2018/1/3,7:00 AM,43,87,24,Light Rain Shower / Windy
2018/1/3,7:30 AM,43,87,24,Partly Cloudy / Windy
2018/1/3,8:00 AM,43,81,36,Partly Cloudy / Windy
2018/1/3,8:30 AM,45,76,35,Mostly Cloudy / Windy
2018/1/3,9:00 AM,45,81,32,Mostly Cloudy / Windy
2018/1/3,9:30 AM,45,81,26,Mostly Cloudy / Windy
2018/1/3,10:00 AM,45,76,28,Fair / Windy
2018/1/3,10:30 AM,45,76,30,Fair / Windy
2018/1/3,11:00 AM,45,76,28,Fair / Windy
2018/1/3,11:30 AM,45,81,32,Light Rain Shower / Windy
2018/1/3,12:00 PM,45,76,28,Mostly Cloudy / Windy
2018/1/3,12:30 PM,45,81,26,Fair / Windy
2018/1/3,1:00 PM,45,81,26,Light Rain Shower / Windy
2018/1/3,1:30 PM,45,87,28,Light Rain Shower / Windy
2018/1/3,2:00 PM,46,76,30,Showers in the Vicinity
2018/1/3,2:30 PM,45,87,26,Light Rain Shower / Windy
2018/1/3,3:00 PM,46,76,29,Showers in the Vicinity
2018/1/3,3:30 PM,46,76,30,Partly Cloudy / Windy
2018/1/3,4:00 PM,46,76,30,Light Rain Shower / Windy
2018/1/3,4:30 PM,46,76,30,Mostly Cloudy / Windy
2018/1/3,5:00 PM,46,76,31,Mostly Cloudy / Windy
2018/1/3,5:30 PM,46,76,30,Mostly Cloudy / Windy
2018/1/3,6:00 PM,46,76,30,Mostly Cloudy / Windy
2018/1/3,6:30 PM,46,76,29,Mostly Cloudy / Windy
2018/1/3,7:00 PM,45,81,26,Mostly Cloudy / Windy
2018/1/3,7:30 PM,45,81,30,Mostly Cloudy / Windy
2018/1/3,8:00 PM,45,81,28,Mostly Cloudy / Windy
2018/1/3,8:30 PM,45,81,25,Mostly Cloudy / Windy
2018/1/3,9:00 PM,45,81,25,Partly Cloudy / Windy
2018/1/3,9:30 PM,45,81,26,Partly Cloudy / Windy
2018/1/3,10:00 PM,45,76,22,Partly Cloudy / Windy
2018/1/3,10:30 PM,45,76,23,Partly Cloudy / Windy
2018/1/3,11:00 PM,43,81,23,Partly Cloudy / Windy
2018/1/3,11:30 PM,43,81,18,Partly Cloudy
2018/1/4,12:00 AM,39,87,10,Mostly Cloudy
2018/1/4,12:30 AM,39,87,8,Mostly Cloudy
2018/1/4,1:00 AM,43,87,15,Mostly Cloudy
2018/1/4,1:30 AM,43,87,14,Mostly Cloudy
2018/1/4,2:00 AM,43,87,13,Mostly Cloudy
2018/1/4,2:30 AM,43,81,10,Mostly Cloudy
2018/1/4,3:00 AM,43,81,16,Light Rain
2018/1/4,3:30 AM,41,87,10,Rain
2018/1/4,4:00 AM,39,93,6,Rain
2018/1/4,4:30 AM,39,93,2,Rain
2018/1/4,5:00 AM,39,93,12,Rain
2018/1/4,5:30 AM,39,93,14,Rain
2018/1/4,6:00 AM,39,93,14,Rain
2018/1/4,6:30 AM,39,100,18,Rain
2018/1/4,7:00 AM,41,93,22,Rain / Windy
2018/1/4,7:30 AM,41,93,23,Rain / Windy
